5708,2013-06-28,2013-06-28,90,Millennium Park,55
8324,2013-06-29,2013-06-29,90,Millennium Park,17
12193,2013-06-30,2013-06-30,42,Wabash Ave & Cermak Rd,27
12789,2013-07-01,2013-07-01,90,Millennium Park,43
13389,2013-07-01,2013-07-01,328,Ellis Ave & 58th St,28
14263,2013-07-01,2013-07-01,90,Millennium Park,8
15183,2013-07-01,2013-07-01,90,Millennium Park,19
17818,2013-07-02,2013-07-02,97,Museum Campus,6
19051,2013-07-02,2013-07-02,71,Morgan St & Lake St,11
22615,2013-07-04,2013-07-04,90,Millennium Park,45
24011,2013-07-04,2013-07-04,62,McCormick Place,29
24513,2013-07-04,2013-07-04,90,Millennium Park,21
25069,2013-07-04,2013-07-04,90,Millennium Park,52
28236,2013-07-05,2013-07-05,34,Cannon Dr & Fullerton Ave,9
28601,2013-07-05,2013-07-05,90,Millennium Park,17
30716,2013-07-06,2013-07-06,328,Ellis Ave & 58th St,15
31118,2013-07-06,2013-07-06,97,Museum Campus,39
31559,2013-07-06,2013-07-06,90,Millennium Park,50
31802,2013-07-06,2013-07-06,69,Damen Ave & Pierce Ave,16
34661,2013-07-07,2013-07-07,90,Millennium Park,9
35024,2013-07-07,2013-07-07,328,Ellis Ave & 58th St,19
35835,2013-07-07,2013-07-07,62,McCormick Place,37
36026,2013-07-07,2013-07-07,97,Museum Campus,27
36118,2013-07-07,2013-07-07,90,Millennium Park,35
36188,2013-07-07,2013-07-07,51,Clark St & Randolph St,25
36374,2013-07-07,2013-07-07,97,Museum Campus,33
37514,2013-07-08,2013-07-08,86,Eckhart Park,35
37812,2013-07-08,2013-07-08,62,McCormick Place,19
47154,2013-07-10,2013-07-10,90,Millennium Park,16
47609,2013-07-11,2013-07-11,62,McCormick Place,40
48628,2013-07-11,2013-07-11,90,Millennium Park,19
48760,2013-07-11,2013-07-11,90,Millennium Park,13
49059,2013-07-11,2013-07-11,97,Museum Campus,18
50478,2013-07-11,2013-07-11,249,Montrose Harbor,20
51927,2013-07-12,2013-07-12,52,Michigan Ave & Lake St,24
52365,2013-07-12,2013-07-12,90,Millennium Park,16
53447,2013-07-12,2013-07-12,97,Museum Campus,17
54463,2013-07-12,2013-07-12,97,Museum Campus,32
55643,2013-07-13,2013-07-13,90,Millennium Park,23
55998,2013-07-13,2013-07-13,81,Daley Center Plaza,12
56185,2013-07-13,2013-07-13,90,Millennium Park,24
56320,2013-07-13,2013-07-13,62,McCormick Place,45
57997,2013-07-13,2013-07-13,90,Millennium Park,12
58093,2013-07-13,2013-07-13,76,Lake Shore Dr & Monroe St,16
59162,2013-07-13,2013-07-13,90,Millennium Park,22
59928,2013-07-14,2013-07-14,62,McCormick Place,50
61165,2013-07-14,2013-07-14,97,Museum Campus,31
66705,2013-07-15,2013-07-15,69,Damen Ave & Pierce Ave,20
68323,2013-07-16,2013-07-16,21,Aberdeen St & Jackson Blvd,27
71125,2013-07-17,2013-07-17,90,Millennium Park,20
72338,2013-07-17,2013-07-17,90,Millennium Park,15
73615,2013-07-17,2013-07-17,86,Eckhart Park,7
74997,2013-07-18,2013-07-18,62,McCormick Place,14
76924,2013-07-18,2013-07-18,62,McCormick Place,39
79195,2013-07-19,2013-07-19,90,Millennium Park,21
79725,2013-07-19,2013-07-19,60,Dayton St & North Ave,12
80642,2013-07-19,2013-07-19,90,Millennium Park,17
83249,2013-07-20,2013-07-20,90,Millennium Park,0
84962,2013-07-20,2013-07-20,53,Wells St & Erie St,20
87030,2013-07-21,2013-07-21,97,Museum Campus,2
87398,2013-07-21,2013-07-21,76,Lake Shore Dr & Monroe St,11
89295,2013-07-21,2013-07-21,90,Millennium Park,28
89378,2013-07-21,2013-07-21,62,McCormick Place,44
89746,2013-07-21,2013-07-21,14,Morgan St & 18th St,23
90508,2013-07-21,2013-07-21,62,McCormick Place,29
90609,2013-07-21,2013-07-21,76,Lake Shore Dr & Monroe St,7
91412,2013-07-22,2013-07-22,62,McCormick Place,23
92647,2013-07-22,2013-07-22,90,Millennium Park,11
97380,2013-07-23,2013-07-23,97,Museum Campus,12
98202,2013-07-23,2013-07-23,90,Millennium Park,7
101629,2013-07-24,2013-07-24,97,Museum Campus,14
103483,2013-07-24,2013-07-24,72,State St & 16th St,15
103924,2013-07-25,2013-07-25,44,State St & Randolph St,12
104872,2013-07-25,2013-07-25,76,Lake Shore Dr & Monroe St,13
106803,2013-07-25,2013-07-25,76,Lake Shore Dr & Monroe St,28
106999,2013-07-25,2013-07-25,46,Wells St & Walton St,6
107193,2013-07-25,2013-07-25,90,Millennium Park,54
108060,2013-07-25,2013-07-25,22,May St & Taylor St,9
108374,2013-07-25,2013-07-25,135,Halsted St & 21st St,15
110380,2013-07-26,2013-07-26,328,Ellis Ave & 58th St,15
114256,2013-07-27,2013-07-27,328,Ellis Ave & 58th St,32
115215,2013-07-27,2013-07-27,249,Montrose Harbor,29
116073,2013-07-27,2013-07-27,44,State St & Randolph St,21
116987,2013-07-27,2013-07-27,90,Millennium Park,19
119192,2013-07-28,2013-07-28,81,Daley Center Plaza,48
119241,2013-07-28,2013-07-28,52,Michigan Ave & Lake St,20
119633,2013-07-28,2013-07-28,90,Millennium Park,25
120080,2013-07-28,2013-07-28,90,Millennium Park,3
121123,2013-07-28,2013-07-28,90,Millennium Park,17
121293,2013-07-28,2013-07-28,76,Lake Shore Dr & Monroe St,10
122909,2013-07-29,2013-07-29,90,Millennium Park,30
123373,2013-07-29,2013-07-29,97,Museum Campus,27
123529,2013-07-29,2013-07-29,97,Museum Campus,2
126501,2013-07-29,2013-07-29,62,McCormick Place,37
130607,2013-07-30,2013-07-30,52,Michigan Ave & Lake St,24
134037,2013-07-31,2013-07-31,85,Michigan Ave & Oak St,16
134272,2013-07-31,2013-07-31,97,Museum Campus,27
137907,2013-08-01,2013-08-01,97,Museum Campus,22
138822,2013-08-01,2013-08-01,66,Clinton St & Lake St,10
139766,2013-08-01,2013-08-01,90,Millennium Park,17
140900,2013-08-02,2013-08-02,14,Morgan St & 18th St,13
141160,2013-08-02,2013-08-02,71,Morgan St & Lake St,11
141762,2013-08-02,2013-08-02,90,Millennium Park,30
142127,2013-08-02,2013-08-02,97,Museum Campus,27
144939,2013-08-02,2013-08-02,26,McClurg Ct & Illinois St,25
145156,2013-08-02,2013-08-02,59,Wabash Ave & Roosevelt Rd,24
145476,2013-08-03,2013-08-03,52,Michigan Ave & Lake St,9
147984,2013-08-03,2013-08-03,62,McCormick Place,25
149705,2013-08-03,2013-08-03,62,McCormick Place,21
149946,2013-08-03,2013-08-03,97,Museum Campus,28
150053,2013-08-03,2013-08-03,90,Millennium Park,20
150409,2013-08-03,2013-08-03,90,Millennium Park,33
152049,2013-08-03,2013-08-03,62,McCormick Place,41
152550,2013-08-03,2013-08-03,110,State St & Erie St,20
154649,2013-08-04,2013-08-04,90,Millennium Park,29
154869,2013-08-04,2013-08-04,174,Canal St & Madison St,18
155624,2013-08-04,2013-08-04,86,Eckhart Park,21
156788,2013-08-04,2013-08-04,97,Museum Campus,22
4118,2013-06-27,2013-06-27,85,Michigan Ave & Oak St,5
4275,2013-06-27,2013-06-27,32,Racine Ave & Congress Pkwy,1
4291,2013-06-27,2013-06-27,32,Racine Ave & Congress Pkwy,7
4316,2013-06-27,2013-06-27,19,Loomis St & Taylor St,3
4342,2013-06-27,2013-06-27,19,Loomis St & Taylor St,14
4480,2013-06-27,2013-06-27,340,Clark St & Wrightwood Ave,48
4490,2013-06-27,2013-06-27,37,Dearborn St & Adams St,18
4592,2013-06-27,2013-06-27,90,Millennium Park,17
4602,2013-06-27,2013-06-27,37,Dearborn St & Adams St,57
4607,2013-06-27,2013-06-27,51,Clark St & Randolph St,11
4617,2013-06-27,2013-06-27,44,State St & Randolph St,29
4619,2013-06-27,2013-06-27,24,Fairbanks Ct & Grand Ave,58
4644,2013-06-27,2013-06-27,20,Sheffield Ave & Kingsbury St,28
4646,2013-06-27,2013-06-27,52,Michigan Ave & Lake St,17
4647,2013-06-27,2013-06-27,52,Michigan Ave & Lake St,14
4666,2013-06-27,2013-06-27,44,State St & Randolph St,49
4793,2013-06-27,2013-06-27,69,Damen Ave & Pierce Ave,12
4863,2013-06-27,2013-06-27,61,Wood St & Milwaukee Ave,21
4865,2013-06-27,2013-06-27,85,Michigan Ave & Oak St,26
4866,2013-06-27,2013-06-27,85,Michigan Ave & Oak St,25
4867,2013-06-27,2013-06-27,61,Wood St & Milwaukee Ave,19
4869,2013-06-27,2013-06-27,61,Wood St & Milwaukee Ave,16
4874,2013-06-27,2013-06-27,61,Wood St & Milwaukee Ave,16
4875,2013-06-27,2013-06-27,61,Wood St & Milwaukee Ave,16
4883,2013-06-27,2013-06-27,85,Michigan Ave & Oak St,38
4896,2013-06-27,2013-06-27,85,Michigan Ave & Oak St,32
4897,2013-06-27,2013-06-27,85,Michigan Ave & Oak St,29
4902,2013-06-27,2013-06-27,17,Wood St & Division St,12
4943,2013-06-27,2013-06-27,67,Sheffield Ave & Fullerton Ave,32
4946,2013-06-27,2013-06-27,67,Sheffield Ave & Fullerton Ave,31
4954,2013-06-27,2013-06-27,61,Wood St & Milwaukee Ave,19
4955,2013-06-27,2013-06-27,61,Wood St & Milwaukee Ave,17
4972,2013-06-27,2013-06-27,85,Michigan Ave & Oak St,27
4986,2013-06-27,2013-06-28,85,Michigan Ave & Oak St,58
4989,2013-06-27,2013-06-28,34,Cannon Dr & Fullerton Ave,38
4991,2013-06-27,2013-06-27,32,Racine Ave & Congress Pkwy,7
5032,2013-06-28,2013-06-28,73,Jefferson St & Monroe St,33
5033,2013-06-28,2013-06-28,73,Jefferson St & Monroe St,33
5035,2013-06-28,2013-06-28,90,Millennium Park,16
5036,2013-06-28,2013-06-28,29,Noble St & Milwaukee Ave,28
5070,2013-06-28,2013-06-28,311,Lincoln Ave & Eastwood Ave,13
5100,2013-06-28,2013-06-28,60,Dayton St & North Ave,3
5125,2013-06-28,2013-06-28,69,Damen Ave & Pierce Ave,20
5127,2013-06-28,2013-06-28,37,Dearborn St & Adams St,16
5128,2013-06-28,2013-06-28,69,Damen Ave & Pierce Ave,34
5130,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,45
5131,2013-06-28,2013-06-28,52,Michigan Ave & Lake St,41
5132,2013-06-28,2013-06-28,72,State St & 16th St,15
5133,2013-06-28,2013-06-28,37,Dearborn St & Adams St,14
